category,question,options,correct
Kur'an,Aşağıdaki aylardan hangisi Haram aylardan biri değildir?,"Zilkade, Zilhicce, Muharrem, Safer",Safer
Kur'an,Kur'an'ın en uzun ayeti nedir?,"2:282, 45:34, 55:38, 3:14",2:282
Kur'an,Borç Ayeti olarak bilinen ayet nedir?,"2:282, 45:34, 55:38, 3:14",2:282
Kur'an,Kaç peygamber Kur'an'da zikredilmiştir?,"5, 10, 15, 25, 40",25
Kur'an,Yusuf'un Kur'an'a göre büyük dedesi kimdir?,"İsmail, İshak, Yakup, İbrahim",İbrahim
Kur'an,اتستبدلون kelimesinin üçlü kökü nedir?,"ta-ba-la, da-la-na, ba-da-la, ta-sa-ta",ba-da-la
İslam Tarihi,Peygamber Medine'yi yeniden adlandırmadan önce Medine hangi isimle biliniyordu?,"Mekke, Taif, Yesrib, Yamama",Yesrib
İslam Tarihi,Muhammed'in mensubu olduğu kabilenin adı neydi?,"Kureyş, Sakif, Daws, Beni Kelb",Kureyş
İslam Tarihi,Muhammed zamanında Taif'te bulunan kabilenin adı neydi?,"Kureyş, Sakif, Daws, Beni Kelb",Sakif
İslam Tarihi,İnançları nedeniyle öldürülen ilk kişinin adı neydi?,"Ammar bin Yasir, Sümeyye bint Hayyat, Bilal bin Rabah, Yasir bin Amir",Sümeyye bint Hayyat
Kur'an, Kur'an'a göre cehennemi koruyan meleğin adı nedir?,"Cebrail, Malik, Mikail, Azrail",Malik
İslam Tarihi,Mekke'nin fethi hangi yılda gerçekleşti?,"5H, 6H, 8H, 10H",8H
Kur'an, Kur'an'da dört eşe kadar evliliğe izin veren ayet hangisidir?,"4:3, 4:133, 16:125, 2:255",4:3
Kur'an, Kur'an'da Musa ve Hızır'ın hikayesini anlatan sure hangisidir?,"Kehf, Enbiya, Musa, En'am",Kehf
Hadis,İmam Nevevi'nin 40 hadisinin ilk hadisi neyi kapsar?,"İslam'ın Şartları, Niyet, Kıyamet Günü, Mükemmellik",Niyet
Kur'an, Beni İsrail'in yeryüzünde iki kez fesat çıkaracağını belirten bir ayet var mı?,"17:4, 14:7, 41:7, 4:17",17:4
Kur'an,ağaçlar kalem olsa ve yedi katı kadar daha olsa bile yetmeyeceğini anlatan ayet hangisidir?,"31:27, 17:4, 16:125",31:27
Kur'an,"Kullu nafsin zaikatul mawt" diyen ayet hangisidir?,"17:4, 6:23, 55:22, 3:185",3:185
İslam Tarihi,Yusuf el-Karadavi hangi yıl vefat etti?,"Hala hayatta, 2018, 2022, 2000",2022
İslam Tarihi,Müslüman Kardeşler'in kurucusu kimdi?,"Muhammed Kişk, Ali Tantavi, Hasan El Benna, Seyyid Kutub",Hasan El Benna
İslam Tarihi,Hangi halifelik en uzun süre hüküm sürdü?,"Ebu Bekir, Ömer, Osman, Ali",Osman
İslam Tarihi,Hangi halifelik Mısır'ı halifeliğin merkezi yaptı?,"Fatımi, Abbasi, Emevi, Osmanlı",Fatımi
Kur'an,Adı "merdiven" anlamına gelen surenin adı nedir?,"Mearic, Selalim, Medaric, Tarık",Mearic
İslam Tarihi,Muhammed (SAV) Ali (RA)'den rasulullah'ı sözleşmeden silmesini istediği anlaşma hangisiydi?,"Hudeybiye, Akabe I, Akabe II, Şecere",Hudeybiye
İslam Tarihi,Peygamber bir sahabinin ölümünün intikamını almak için ağacın altında yemin etti. Bu sahabi kimdi?,"Ali bin Ebu Talib, Ebu Bekir, Osman, Süfyan",Osman
Kur'an,Kaç sure vardır?,"86, 114, 113, 127",114
Kur'an,Bu tefsirlerden hangisi en yenisidir?,"Sa'di, İbn Kesir, Kurtubi, Razi",Sa'di
Modern Meseleler,Dövme İslam'da yasak mı?,"Yasak, Mekruh, Mubah, Teşvik Edilen, Farz",Yasak
Modern Meseleler,Pornografi İslam'da yasak mı?,"Yasak, Mekruh, Mubah, Teşvik Edilen, Farz",Yasak
Fıkıh,İslam'da namazın durumu nedir?,"Yasak, Mekruh, Mubah, Teşvik Edilen, Farz",Farz
Fıkıh,İslam'da zekatın durumu nedir?,"Yasak, Mekruh, Mubah, Teşvik Edilen, Farz",Farz
Fıkıh,İslam'ın kumar konusundaki duruşu nedir?,"Yasak, Mekruh, Mubah, Teşvik Edilen, Farz",Yasak
Fıkıh,İslam'ın alkol konusundaki duruşu nedir?,"Yasak, Mekruh, Mubah, Teşvik Edilen, Farz",Yasak
Fıkıh,Öğle namazından önceki nafile namazların durumu nedir?,"Yasak, Mekruh, Mubah, Teşvik Edilen, Farz",Teşvik Edilen
Hadis,Hadislerin en yüksek seviyesi hangisidir?,"Mütevatir, Ahad, Hasen, Zayıf",Mütevatir
Hadis,"Alimlerin peygamberlerin varisleri olduğunu anlatan hadiste, peygamberlerin geride ne bırakmadığı söylenir?","Altın ve gümüş, dinar ve dirhem, çocuklar, mülk",dinar ve dirhem
İslam Tarihi,Madina'nın Yahudi kabilelerinden biri olmayan kabile hangisidir?,"Beni Nadir, Beni Kaynuka, Beni Kureyza, Beni Kalun",Beni Kalun
İslam Tarihi,Haacer ve İsmail'e rastlayan kabilenin adı nedir?,"Curhum, Cinan, Kinanah, Hişam",Curhum
Hadis,Alimlerin peygamberlerin varisleri olduğunu anlatan hadisi kim rivayet eder?,"Ebu Derda, Ebu Zerr, Ebu Kuhafe, Enes bin Malik",Ebu Derda
İslam Tarihi,Peygamberin (SAV) annesi vefat ettikten hemen sonra ona kim baktı?,"Abdulmuttalib, Ebu Talib, Hamza, Abbas",Abdulmuttalib
İslam Tarihi,Hz. Hatice'nin Peygamber (SAV) ile bazen görüşen kız kardeşinin adı nedir?,"Ayrıca Hatice, Hala, Rukiyye, Meymune",Hala
İslam Tarihi,Selahaddin Haçlı Seferlerinde Avrupalıları hangi yılda yendi?,"1187 CE, 1099 CE, 1492 CE, 912 CE",1187 CE
İslam Tarihi,Hangi İslam aliminin adı logaritmalara verilmiştir?,"El-Logaritmi, El-Harezmi, El-Cebri, El-Farabi",El-Harezmi
İslam Tarihi,Peygamberin ölümünden sonra Kur'an'ı derlemekle görevlendirilen sahabi kimdi?,"Zeyd bin Harise, Zeyd bin Sabit, Sabit bin Kays, Ebu Eyyub el-Ensari",Zeyd bin Sabit
Kur'an,Adı Kur'an'da geçen tek sahabi kimdir?,"Ebu Bekir, Ömer, Zeyd bin Harise, Zeyd bin Sabit",Zeyd bin Harise
Kur'an,Allah İsra ve Mirac için Peygamberi (SAV) nasıl çağırır?,"Peygamber, Muhammed, Abd, Seyyid",Abd
Kur'an,Ebu Bekir Kur'an'da geçiyor mu?,"Evet, Hayır, dolaylı olarak thaani-ithnayn olarak, Abdullah adıyla evet",Dolaylı olarak thaani-ithnayn olarak
İslam Tarihi,İki kuşaklı olarak bilinen kimdir?,"Aişe bint Ebu Bekir, Esma bint Ebu Bekir, Ümmü Seleme, Hatice",Esma bint Ebu Bekir
İslam Tarihi,Hangi Peygamberin (SAV) eşi Hudeybiye'de ona başını tıraş etmesini ve insanların onu takip edeceğini tavsiye etti?,"Aişe bint Ebu Bekir, Esma bint Ebu Bekir, Ümmü Seleme, Zeynep bint Cahş",Ümmü Seleme
İlahiyat,Müslümanlar asli günaha inanır mı?,"Evet çünkü herkes günaha meyillidir, Hayır Müslümanlar fıtrat kavramına inanır,",Hayır Müslümanlar fıtrat kavramına inanır
Kur'an,Hangisi Nuh kavminin terk etmemeleri gerektiğini söylediği putlardan biridir?,"Lat, Uzza, Hubal, Vedd",Vedd
Kur'an,Nuh kavminin terk etmemeleri gerektiğini söylediği putları listeleyen Kur'an ayeti hangisidir?,"71:11, 71:23, 72:11, 72:23",71:23
İslam Tarihi,Şu anda anlaşıldığı şekliyle İslam takviminin ilk ayı hangisidir?,"Ramazan, Muharrem, Zilhicce, Safer",Muharrem
İslam Tarihi,Mevcut İslam Takvimi kimin döneminde oluşturuldu?,"Ebu Bekir, Ömer, Osman, Ali",Ömer
İslam Tarihi, Ey Allah'ım bana yolunda şehitlik nasip et ve ölümümü Resulünün şehrinde gerçekleşmesini sağla duasını yapan sahabi kimdir?,"Ebu Bekir, Ömer, Ubeyde bin Cerrah, Ebu Zerr el-Gıfari", Ömer
İslam Tarihi,"Cebrail insan formunda Muhammed'e geldiğinde, hangi sahabiye benzerdi?","Ömer, Ebu Bekir, Huzeyfe bin el-Yeman, Dihyah el-Kelbi",Dihyah el-Kelbi
Hadis,"Man aadaa lee waliyyan ile başlayan kudsi hadise göre, aşağıdakilerden hangisi Allah'ın evliyalarının özelliklerinden biri değildir?","duyduğu ile duymak, gördüğü ile görmek, yürüdüğü bacak, düşündüğü zihin",düşündüğü zihin
Kur'an,"Aşağıdakilerden hangisi, Surah al-Waqi'ah'da kıyamet gününde bahsedilen 3 insan kategorisinden biri değildir?","Assabiqoon as saabiqoon, ashaab al-maimanah, ashaab al-Mash'amah, Ashaab al-Jaheem",Ashaab al-Jaheem
Kur'an,"Kur'an'ı bir Avrupa diline ilk kim çevirdi?","Robert of Ketton, George Sale, Abdullah Yusuf Ali, Mohammad Marmaduke Pickthall",Robert of Ketton
Modern Meseleler,İslam'ın tüp bebek tedavisine bakışı nedir?,"Asla izin verilmez, Her zaman izin verilir, sadece sperm kocadan ve yumurta eşten geliyorsa izin verilir",sadece sperm kocadan ve yumurta eşten geliyorsa izin verilir
Hadis,"Embriyonik gelişimin üç aşaması hakkındaki hadiste, bahsedilmeyen aşama hangisidir?","nutfah (damla), alaqah (pıhtı), mudghah (et parçası), ithaam (kemikler)",ithaam (kemikler)
Fıkıh,Aşağıdakilerden hangisi zekat almaya uygun 8 kategoriden biri değildir?,"esirleri serbest bırakmak, zekat yöneticileri, borçlular, cami inşaatı",cami inşaatı
Fıkıh,Aşağıdakilerden hangisi üç hac türünden biri değildir?,"ifraad, qiran, tamattu, matmum",matmum
Fıkıh,En çok tercih edilen hac türü hangisidir?,"ifraad, qiran, tamattu, matmum",tamattu
Hadis,"Hadise göre, Cennetin kaç kapısı vardır?","1, 3, 7, 8",8
Hadis,"Hadise göre, Raiyan kapısından girmek için ne gereklidir?","namaz kılmak, oruç tutmak, zekat vermek, zikir yapmak",oruç tutmak
Kur'an,"Kur'an'a göre, cehennemin kaç kapısı vardır?","1, 3, 7, 8",7
Kur'an,Cehennemin kaç kapısı olduğunu söyleyen Kur'an ayeti hangisidir?,"15:44, 44:15, 4:15, 5:14",15:44
Kur'an,Kur'an'a göre cehennemin üzerinde kaç melek bekçi vardır?,"1, 3, 7, 19",19
Kur'an, Kur'an'ın hangi ayeti cehennemin üzerinde kaç melek bekçi olduğunu söyler?,"74:30, 34:70, 30:74, 47:3",74:30
Kur'an, Aşağıdakilerden hangisi Tahrim Suresi'nin sonunda bahsedilen kadınlardan biri değildir?,"Firavun'un karısı, Meryem, Lut'un karısı, Nuh'un karısı, İbrahim'in karısı",İbrahim'in karısı
İslam Tarihi, Hatice'nin kutsal kitaplar hakkında bilgili olan kuzeninin adı nedir?,"Varaka bin Nevfel, Halid bin Huveylid, Sabit bin Kays, Eyyub bin Hakim",Varaka bin Nevfel
Modern Meseleler, İslam'ın karşı cinsin kıyafetlerini giymek konusundaki duruşu nedir?,"Yasak, Mekruh, Mubah, Teşvik Edilen, Farz",Yasak
Modern Meseleler, İslam'ın canlı varlıkların heykelleri konusundaki duruşu nedir?,"Yasak, Mekruh, Mubah, Teşvik Edilen, Farz",Yasak
İlahiyat, Ana akım İslam'dan ayrılan ilk büyük grup kimlerdi?,"Hariciler, Mutezile, Şia, Cehmiyye",Hariciler
İlahiyat, Kötülüğü anlamada aşağıdakilerden hangisi Allah'ın iradesinin bir şekli değildir?,"İrade-i Şer'iyye, İrade-i Külliyye, İrade-i Nefsiyye",İrade-i Nefsiyye
Fıkıh, Adet gören kadınlar bayram namazına gitmeli mi?,"Evet, Hayır, Evet ama namazın kendisine katılmazlar",Evet ama namazın kendisine katılmazlar
İslam Tarihi, "Ömer'i kim öldürdü?" sorusunun cevabı nedir?,"Ducanah el-Şami, Ebu Lülua el-Mecusi, Leys el-Saadi, Yaman bin Kays", Ebu Lülua el-Mecusi
Kur'an, "Laa yamassahu illal mutahharoon" diyen ayet hangisidir?,"56:79, 59:76, 57:69, 5:69",56:79
Kur'an, "İnsanların yaptıkları nedeniyle yeryüzünde bozulma yayıldı" diyen ayet hangisidir?,"31:40, 3:140, 30:41, 30:14",30:41
